ID,grade
3582,B
60498,B
53227,B
21333,B
3885,B
51521,B
84261,B
10685,B
59948,B
41032,B
25747,B
44303,B
83813,B
61991,B
49392,B
37116,B
65942,B
2216,B
81749,B
77996,B
30999,B
18294,B
81976,B
29876,B
85471,B
8959,B
70029,B
28324,B
50521,B
89741,B
8350,B
4655,B
90049,B
66296,B
35416,B
50253,B
46535,B
65667,B
56112,B
69884,B
69132,B
27954,B
45096,B
83141,B
7413,B
52692,B
27712,B
47173,B
47393,B
87379,B
54234,B
95572,B
1066,B
16820,B
55800,B
19767,B
54654,B
91959,B
46004,B
18632,B
92173,B
38806,B
3026,B
89926,B
40109,B
14664,B
43105,B
70847,B
64523,B
13303,B
22321,B
96669,B
822,B
67521,B
75286,B
14085,B
32500,B
73097,B
48652,B
90432,B
70715,B
98809,B
71060,B
16201,B
29565,B
43959,B
45976,B
57881,B
60515,B
11951,B
32239,B
1331,B
30578,B
80285,B
55407,B
95350,B
54177,B
63741,B
62122,B
26493,B
60005,B
74007,B
345,B
43895,B
15471,B
17226,B
31180,B
9221,B
38525,B
48805,B
66691,B
33411,B
24702,B
38259,B
65520,B
40280,B
85270,B
40425,B
30407,B
36017,B
24852,B
68371,B
32893,B
86902,B
66295,B
355,B
90756,B
45862,B
28100,B
94411,B
3854,B
39856,B
41824,B
16750,B
28809,B
94166,B
91124,B
61589,B
20823,B
43441,B
56613,B
52589,B
26549,B
35198,B
46955,B
21550,B
62616,B
78921,B
81448,B
69202,B
51265,B
12987,B
79336,B
23942,B
77445,B
42389,B
16047,B
23286,B
15264,B
43985,B
22072,B
70123,B
24951,B
32543,B
63373,B
83691,B
11216,B
34462,B
44808,B
6642,B
28167,B
42282,B
63064,B
21589,B
75351,B
57225,B
35206,B
69677,B
95690,B
46869,B
42790,B
46511,B
12868,B
42975,B
74099,B
43605,B
33518,B
7341,B
11980,B
22312,B
66408,B
78556,B
30510,B
86477,B
71890,B
74244,B
96072,B
66171,B
31186,B
36740,B
4084,B
54732,B
47751,B
44205,B
16479,B
52242,B
50216,B
56727,B
89805,B
54214,B
68685,B
73884,B
4425,B
55430,B
4904,B
71480,B
48845,B
77927,B
90720,B
76195,B
15630,B
19512,B
6026,B
42511,B
